"CarrierName","Program","SubProgram","Policy","PolicyEffective","PolicyExpiration","PolicyCancellation","PolicyReinstatement","State","ASLOB","Product","TransactionType","WrittenPremium","Taxes","PolicyFees","Commission","CollectedPremium","UncollectedPremiumUnder_30_Days","UncollectedPremium_31_60_Days","UncollectedPremium_61_90_Days","UncollectedPremiumOver_90_Days"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002864-01","09/26/2025","09/26/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","12.1","121.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002866-01","09/18/2025","09/18/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","223.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002877-01","09/20/2025","09/20/2026","01/14/2026","","SC","9.001","Personal Boaters","Cancellation","-651.0","","0.0","-52.08","-651.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002882-01","09/19/2025","09/19/2026","","","MD","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","119.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002888-01","09/20/2025","09/20/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","1.0","8.3","83.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002891-01","09/22/2025","09/22/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","196.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002895-01","09/21/2025","09/21/2026","","","PA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","51.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002896-01","09/21/2025","09/21/2026","","","MD","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","60.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002897-01","09/23/2025","09/23/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","74.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002914-01","09/25/2025","09/25/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","40.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002915-01","10/01/2025","10/01/2026","","","TN","9.001","Personal Boaters","Renweal","0.0","","5.0","7.6","76.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002916-01","09/25/2025","09/25/2026","","","TN","9.001","Personal Boaters","Renweal","0.0","","1.0","21.71","167.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002929-01","10/04/2025","10/04/2026","","","OH","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","66.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002943-01","09/29/2025","09/29/2026","","","CT","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","90.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-09-0000002945-01","10/01/2025","10/01/2026","12/23/2025","","TN","9.001","Personal Boaters","Cancellation","-1245.0","","0.0","-149.4","-1245.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002951-01","10/02/2025","10/02/2026","","","IL","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","101.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002953-01","10/04/2025","10/04/2026","","","OH","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","108.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002957-01","10/03/2025","10/03/2026","","","SC","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","184.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002958-01","10/05/2025","10/05/2026","","","CT","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","129.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002959-01","10/30/2025","10/30/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","17.4","174.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002960-01","10/07/2025","10/07/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","51.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002962-01","10/04/2025","10/04/2026","01/16/2026","","MD","9.001","Personal Boaters","Cancellation","-738.0","","0.0","-4.0","-50.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002963-01","10/04/2025","10/04/2026","","","AZ","9.001","Personal Boaters","Renweal","0.0","","1.0","8.1","81.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002964-01","10/04/2025","10/04/2026","","","AZ","9.001","Personal Boaters","Renweal","0.0","","1.0","3.8","38.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002966-01","10/25/2025","10/25/2026","","","SC","9.001","Personal Boaters","Endorsement","17.0","","0.0","0.0","17.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002970-01","10/06/2025","10/06/2026","","","AZ","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","74.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002983-01","10/08/2025","10/08/2026","","","NH","9.001","Personal Boaters","Renweal","0.0","","1.0","25.7","257.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002984-01","10/10/2025","10/10/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","46.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002985-01","10/09/2025","10/09/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","105.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002990-01","10/13/2025","10/13/2026","","","AL","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","120.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002991-01","10/09/2025","10/09/2026","","","AL","9.001","Personal Boaters","Renweal","0.0","","5.0","4.4","44.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002992-01","10/15/2025","10/15/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","101.0","0.0","0.0","0.0","0.0"
